Label,sigma (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]",Upper limit on signal strength,xsecUL
Run 96,16.712,1004.6,34.89114,401.8,1.0,0.25,0.1651922,0.1432067,0.1432067,0.1432067,0.1432067,0.1432067,0.1187743,0.42,1.159490659488
Run 97,1379.5,304.6,14.3055,51.6,1.0,0.25,0.4704409,0.1059118,0.1059118,0.1059118,0.1059118,0.1059118,,0.02,12.979464431
Run 98,526.46,403.7,21.03294,1.9,1.0,0.25,0.5090367,0.09545708,0.09545708,0.09545708,0.09545708,0.09545708,0.01367787,0.04,10.719498443280001
Run 99,0.65961,2001.7,97.03935,451.5,1.0,0.25,0.3889609,0.1025917,0.1025917,0.1025917,0.1025917,0.1025917,0.0980804,1.13,0.28991562415136996
Run 100,2.7575,1507.0,44.39189,756.3,1.0,0.25,,0.1688372,0.1688372,0.1688372,0.1688372,0.1688372,0.1558138,20.3,
Run 101,1.3065,1754.5,73.79328,550.9,1.0,0.25,0.2972572,0.1182493,0.1182493,0.1182493,0.1182493,0.1182493,0.1114963,0.96,0.372831870528
Run 102,16.886,1002.2,52.06774,151.8,1.0,0.25,0.4419923,0.09573611,0.09573611,0.09573611,0.09573611,0.09573611,0.07932713,0.15,1.1195222966699998
Run 103,7.7639,1201.7,66.67244,50.9,1.0,0.25,0.4729486,0.08964028,0.08964028,0.08964028,0.08964028,0.08964028,0.07884996,0.19,0.6976658707526
Run 104,4992.8,205.6,5.113715,106.4,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,0.71,
Run 105,69.337,703.7,33.5746,151.0,1.0,0.25,0.4096039,0.1042389,0.1042389,0.1042389,0.1042389,0.1042389,0.06920174,0.09,2.556063505287
Run 106,0.3461,2251.5,118.0807,349.9,1.0,0.25,0.4343024,0.09483315,0.09483315,0.09483315,0.09483315,0.09483315,0.0915319,1.62,0.2435055382368
Run 107,7.7222,1202.7,55.92991,300.1,1.0,0.25,0.371144,0.1069513,0.1069513,0.1069513,0.1069513,0.1069513,0.0940993,0.26,0.745172531168
Run 108,1.2994,1757.2,62.11863,701.5,1.0,0.25,0.1638417,0.1406947,0.1406947,0.1406947,0.1406947,0.1406947,0.1326849,1.75,0.372567833715
Run 109,16.729,1004.5,46.42824,251.2,1.0,0.25,0.3727102,0.1076088,0.1076088,0.1076088,0.1076088,0.1076088,0.08924577,0.18,1.122312408444
Run 110,0.66252,2000.6,109.112,202.2,1.0,0.25,0.4568594,0.09119248,0.09119248,0.09119248,0.09119248,0.09119248,0.08717821,0.9,0.2724106407192
Run 111,524.21,404.3,10.34561,205.1,1.0,0.25,,0.1943626,0.1943626,0.1943626,0.1943626,0.1943626,0.0281871,1.45,
Run 112,16.822,1003.5,55.70876,2.6,1.0,0.25,0.4777867,0.0895887,0.0895887,0.0895887,0.0895887,0.0895887,0.07426978,0.13,1.0448526227619999
Run 113,1.3256,1750.3,92.51072,251.9,1.0,0.25,0.4408032,0.09409935,0.09409935,0.09409935,0.09409935,0.09409935,0.08870007,0.63,0.3681270948096
Run 114,2.8058,1501.7,79.84118,201.5,1.0,0.25,0.4460038,0.09354369,0.09354369,0.09354369,0.09354369,0.09354369,0.08627773,0.37,0.4630170609548
Run 115,1346.4,306.9,7.87189,145.9,1.0,0.25,0.0306001,0.19388,0.19388,0.19388,0.19388,0.19388,,0.48,19.7759878272
Run 116,2.7652,1506.0,49.42901,651.0,1.0,0.25,0.1025206,0.1515306,0.1515306,0.1515306,0.1515306,0.1515306,0.1398266,1.67,0.47342823841040005
Run 117,1.317,1752.5,87.62768,349.9,1.0,0.25,0.4088645,0.09947141,0.09947141,0.09947141,0.09947141,0.09947141,0.09377847,0.68,0.36616269162000004
Run 118,2.7567,1506.3,57.21622,548.7,1.0,0.25,0.2244845,0.1309374,0.1309374,0.1309374,0.1309374,0.1309374,0.1208287,0.79,0.4888807727085
Run 119,246670.0,55.6,1.383626,101.3,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,1.34,
Run 120,7.6086,1206.9,35.43388,595.5,1.0,0.25,0.003833785,0.1693976,0.1693976,0.1693976,0.1693976,0.1693976,0.1491783,9.56,0.27886268142756004
Run 121,7.6385,1206.0,40.77,501.2,1.0,0.25,0.1348874,0.1471163,0.1471163,0.1471163,0.1471163,0.1471163,0.1295309,0.72,0.741842931528
Run 122,1384.5,304.2,15.62996,1.9,1.0,0.25,0.5160705,0.0967859,0.0967859,0.0967859,0.0967859,0.0967859,,0.02,14.289992145000001
Run 123,0.34424,2253.5,95.56473,700.7,1.0,0.25,0.3003824,0.1172822,0.1172822,0.1172822,0.1172822,0.1172822,0.1132067,2.51,0.25954312981375993
Run 124,16.683,1005.1,31.35703,452.2,1.0,0.25,0.070635,0.1594231,0.1594231,0.1594231,0.1594231,0.1594231,0.1322493,0.94,1.1076994827
Run 125,0.34152,2255.3,91.7905,750.4,1.0,0.25,0.2710264,0.1222022,0.1222022,0.1222022,0.1222022,0.1222022,0.1179625,2.77,0.25639379307456
Run 126,7.7095,1203.2,52.31449,350.6,1.0,0.25,0.327404,0.1143885,0.1143885,0.1143885,0.1143885,0.1143885,0.1006535,0.3,0.7572363414
Run 127,520.68,405.1,13.55095,151.0,1.0,0.25,0.2346704,0.1486854,0.1486854,0.1486854,0.1486854,0.1486854,0.02190267,0.08,9.77505470976
Run 128,2.7704,1505.5,53.03991,601.3,1.0,0.25,0.1638905,0.14117,0.14117,0.14117,0.14117,0.14117,0.1302595,1.06,0.481284775672
Run 129,4717.8,209.4,5.207502,501.2,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,33.2,
Run 130,525.25,404.1,20.08611,50.1,1.0,0.25,0.4851763,0.1000709,0.1000709,0.1000709,0.1000709,0.1000709,0.0144692,0.04,10.193554063
Run 131,2.7981,1502.1,77.63398,250.4,1.0,0.25,0.430071,0.09623321,0.09623321,0.09623321,0.09623321,0.09623321,0.08876293,0.39,0.469318849389
Run 132,5064.4,204.7,5.091312,151.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,1.93,
Run 133,1.3259,1750.2,97.20973,102.0,1.0,0.25,0.4678667,0.08954532,0.08954532,0.08954532,0.08954532,0.08954532,0.08440673,0.57,0.3535963407921
Run 134,69.324,703.6,38.48133,1.9,1.0,0.25,0.4849644,0.09093481,0.09093481,0.09093481,0.09093481,0.09093481,0.06036157,0.07,2.3533770445920004
Run 135,16.786,1003.7,42.74605,300.9,1.0,0.25,0.3192855,0.1167792,0.1167792,0.1167792,0.1167792,0.1167792,0.09681849,0.21,1.1255005446300002
Run 136,224900.0,57.5,1.43104,300.9,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,9.79,
Run 137,0.34465,2252.9,109.8139,500.4,1.0,0.25,0.3913233,0.1020374,0.1020374,0.1020374,0.1020374,0.1020374,0.09848984,1.87,0.25220610589515
Run 138,69.649,703.2,36.186,101.3,1.0,0.25,0.4526211,0.09665108,0.09665108,0.09665108,0.09665108,0.09665108,0.06412354,0.08,2.521968559512
Run 139,0.65527,2004.5,74.752,751.9,1.0,0.25,0.2056249,0.1333705,0.1333705,0.1333705,0.1333705,0.1333705,0.1275224,2.28,0.30720680834844
Run 140,0.65164,2006.3,71.05684,800.9,1.0,0.25,0.1635558,0.1404318,0.1404318,0.1404318,0.1404318,0.1404318,0.134285,2.84,0.30268578429408
Run 141,7.7053,1203.1,61.95327,200.0,1.0,0.25,0.4321019,0.09658287,0.09658287,0.09658287,0.09658287,0.09658287,0.08498378,0.22,0.7324844494154
Run 142,0.34969,2247.8,125.5859,101.3,1.0,0.25,0.4689936,0.08901923,0.08901923,0.08901923,0.08901923,0.08901923,0.08591021,1.43,0.23452339193712002
Run 143,0.34633,2251.7,99.18637,651.8,1.0,0.25,0.326471,0.1129098,0.1129098,0.1129098,0.1129098,0.1129098,0.1089801,2.3,0.260053413289
Run 144,0.34688,2249.7,120.101,301.6,1.0,0.25,0.4442649,0.09316389,0.09316389,0.09316389,0.09316389,0.09316389,0.08991562,1.53,0.23578311102336003
