Label,Region,Total Weight,Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gVx,gAq,gVq
Run 10,EM1,0.01815339023157896,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM2,0.011602007747368396,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM3,0.007994418273684249,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM4,0.010418718399999995,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM5,0.006205053894736864,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM6,0.0031458180210526265,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM7,0.0021068322526315766,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM8,0.0012698714947368419,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM9,0.0010101250526315794,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM10,0.0003463285894736842,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM11,0.00046177145263157885,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 10,EM12,0.00014430357894736843,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
Run 11,EM0,0.01638625231578978,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM1,0.010789716909473852,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM2,0.007529272858947455,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM3,0.005142762265263185,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM4,0.0060839213726316295,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM5,0.003983119793684209,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM6,0.0017814797389473671,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM7,0.0011932552968421046,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM8,0.0009579655199999994,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM9,0.0006722565052631576,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM10,0.0002520961894736843,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM11,0.00015125771368421054,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 11,EM12,0.00013445130105263159,1759.0,98.02924,83.132,1.0,0.0,0.25,0.0
Run 12,EM0,0.03222998853122817,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM1,0.02079784161684217,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM2,0.014598484981052675,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM3,0.010398920808421083,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM4,0.013331949754386004,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM5,0.00659931512842107,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM6,0.004132904423859659,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM7,0.002333091207017548,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM8,0.0013665248498245623,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM9,0.0009665663571929824,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM10,0.0002999688694736842,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM11,0.00043328836701754384,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 12,EM12,0.00043328836701754384,1501.5,81.57238,153.87,1.0,0.0,0.25,0.0
Run 13,EM0,0.013760740016842384,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM1,0.008962772383157916,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM2,0.0065004722778947074,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM3,0.004544702479999986,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM4,0.00555776309473682,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM5,0.003053252130526314,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM6,0.0018432075073684274,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM7,0.0012944663410526338,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM8,0.0007175846021052631,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM9,0.0004502491621052631,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM10,0.000239194867368421,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM11,0.00021105429473684207,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 13,EM12,0.00014070286315789472,1759.0,89.28053,327.73,1.0,0.0,0.25,0.0
Run 14,EM0,0.0005689568875789332,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM1,0.0003531255938245569,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM2,0.0002332839590175442,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM3,0.0001576557428771932,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM4,0.00018092596322807043,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM5,0.00010704301361403523,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM6,6.515661698245621e-05,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM7,4.0722885614035124e-05,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM8,2.1524953824561407e-05,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM9,1.2798621192982451e-05,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM10,6.981066105263159e-06,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM11,4.654044070175439e-06,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 14,EM12,3.4905330526315794e-06,300.29,7.4676,450.11,1.0,0.0,0.25,0.0
Run 15,EM0,0.13426107161403616,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM1,0.0779411675473685,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM2,0.05614553903859615,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM3,0.03713975097894719,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM4,0.03661665589473667,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM5,0.019354518115789456,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM6,0.008543886375438603,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM7,0.005056585814035091,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM8,0.0015692852526315788,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
