Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mMed (GeV),mchi (GeV),Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
EM5,0.6295905,0.7692364,0.0097187,0.0003766,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.01720926102820927,0.021026349666966065,Excluded,Excluded
EM6,0.5957714,0.8282513,0.0048696,0.0002672,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.015983059730784604,0.022219915222516557,Excluded,Excluded
EM7,0.4819703,0.7051922,0.002976,0.0002091,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.018772173033110687,0.02746640197539143,Excluded,Excluded
EM8,0.5180593,0.591576,0.0015707,0.000152,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.02237749672062423,0.02555303997052075,Excluded,Excluded
EM9,0.7793247,0.6581878,0.0006305,9.64e-05,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.020112785439049465,0.016986488430303825,Excluded,Excluded
EM10,0.4862701,1.0384753,0.0006414,9.72e-05,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.012747525145759366,0.027223532765020923,Excluded,Excluded
EM11,0.4054157,0.4533132,0.0005421,8.94e-05,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.029202745474872557,0.0326528795012132,Excluded,Excluded
EM12,0.4448449,0.3556553,0.0005723,9.18e-05,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.03722140510769838,0.029758664199589564,Excluded,Excluded
IM0,320.4646995,406.5036015,0.0017622,1e-07,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,68.3457905353884,86.69538343333195,Included,Included
IM1,243.6054235,305.4076076,0.0009296,1e-07,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,90.9696068749795,114.04840500195186,Included,Included
IM2,275.503257,376.6349456,0.0004124,1e-07,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,73.76588477667805,100.84385318174296,Included,Included
IM3,168.3945075,247.2585617,0.0003386,1e-07,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,112.36338919462379,164.98643817109058,Included,Included
IM4,285.0745836,455.1075593,0.0001152,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,61.046689803906325,97.45803939850077,Included,Included
IM5,124.5481856,190.2417249,0.0001152,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,146.03951900984893,223.0687654433402,Included,Included
IM6,182.0566457,266.6472021,4e-05,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,104.19314277890186,152.60530530580903,Included,Included
IM7,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
IM8,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
IM9,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
IM10,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
IM11,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
IM12,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
EM0,440.0516919,493.8231393,0.0008326,1e-07,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,56.26064837581823,63.13533276066471,Included,Included
EM1,246.5519486,240.1583126,0.0005173,1e-07,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,115.68539809935358,112.68542048748586,Included,Included
EM2,678.5168277,672.2614758,7.37e-05,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,41.32738673882524,40.94638314892894,Included,Included
EM3,103.6139083,125.5215637,0.0002235,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,221.33894114322607,268.13784419325873,Included,Included
EM4,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
EM5,81.8162947,99.4710229,7.52e-05,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,279.3055624644632,339.575510011455,Included,Included
EM6,72.8492335,100.9651941,4e-05,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,275.1721545989679,381.3740881707424,Included,Included
EM7,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
EM8,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
EM9,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
EM10,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
EM11,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
EM12,-1.0,-1.0,0.0,0.0,27782.81,spin1_run_05_mzp_55_mx_0,55.0,0.0,-27782.81,-27782.81,Excluded,Excluded
IM0,263.8989877,333.5594499,0.0021462,2e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,41.95581928257641,53.030745293760745,Included,Included
IM1,219.0103972,275.268297,0.0010349,1e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,50.84043514099264,63.899979996018196,Included,Included
IM2,177.5166531,245.2363289,0.0006356,1e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,57.06642267388794,78.83632186393446,Included,Included
IM3,150.8190809,222.5372548,0.0003772,1e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,62.88726807822562,92.7917072328479,Included,Included
IM4,143.9051656,228.8290072,0.0002288,1e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,61.15815547706488,97.2498794025223,Included,Included
IM5,93.4584202,141.5763629,0.0001547,1e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,98.8495516718773,149.7431688878473,Included,Included
IM6,62.276298,91.1192968,0.0001169,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,153.58722566436663,224.72048675725716,Included,Included
IM7,30.7270665,36.1818429,0.0001169,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,386.7895850048036,455.45382602664006,Included,Included
IM8,25.4684616,27.4035138,7.84e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,510.692172622038,549.4937314941708,Included,Included
IM9,31.8142649,30.107353,3.97e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,464.8286416942732,439.8894660614962,Included,Included
IM10,23.5126164,36.4365457,3.97e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,384.0858053676586,595.202157085334,Included,Included
IM11,14.2956297,12.6982172,3.97e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,1102.1043174470192,978.9537287748857,Included,Included
IM12,-1.0,-1.0,0.0,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,-13994.76,-13994.76,Excluded,Excluded
