Run,MY1,Mchi,Omegah2,xsi,x_f,sigmav_xf
154,32.964,149.54,1.2e-05,9.9e-05,31.0,0.0
155,32.964,149.89,1.2e-05,9.9e-05,31.0,0.0
156,32.964,153.03,1.1e-05,9.5e-05,31.0,0.0
157,32.964,153.87,1.1e-05,9.4e-05,31.0,0.0
158,32.964,156.53,1.1e-05,9.2e-05,31.0,0.0
159,32.964,160.02,1e-05,8.8e-05,31.0,0.0
160,32.964,161.99,1e-05,8.5e-05,31.0,0.0
161,32.964,163.52,1e-05,8.2e-05,31.0,0.0
162,32.964,167.01,9e-06,7.2e-05,31.0,0.0
163,32.964,170.51,6e-06,4.7e-05,32.0,0.0
164,32.964,171.17,5e-06,4e-05,32.0,0.0
165,32.964,174.0,3e-06,2.4e-05,32.0,0.0
166,32.964,177.5,2e-06,1.9e-05,32.0,0.0
167,32.964,180.35,2e-06,1.6e-05,33.0,0.0
168,32.964,180.99,2e-06,1.6e-05,33.0,0.0
169,32.964,184.49,2e-06,1.4e-05,33.0,0.0
170,32.964,187.98,2e-06,1.3e-05,33.0,0.0
171,32.964,188.7,2e-06,1.3e-05,33.0,0.0
172,32.964,191.48,2e-06,1.2e-05,33.0,0.0
173,32.964,194.97,1e-06,1.2e-05,33.0,0.0
174,32.964,196.18,1e-06,1.2e-05,33.0,0.0
175,32.964,198.47,1e-06,1.1e-05,33.0,0.0
176,32.964,200.38,1e-06,1.1e-05,33.0,0.0
177,32.964,201.96,1e-06,1.1e-05,33.0,0.0
178,32.964,205.46,1e-06,1e-05,33.0,0.0
179,32.964,208.95,1e-06,1e-05,33.0,0.0
180,32.964,212.45,1e-06,1e-05,33.0,0.0
181,32.964,212.84,1e-06,1e-05,33.0,0.0
182,32.964,215.94,1e-06,1e-05,33.0,0.0
183,32.964,219.44,1e-06,9e-06,33.0,0.0
184,32.964,222.32,1e-06,9e-06,33.0,0.0
185,32.964,222.93,1e-06,9e-06,33.0,0.0
186,32.964,226.43,1e-06,9e-06,33.0,0.0
187,32.964,229.92,1e-06,9e-06,33.0,0.0
188,32.964,231.06,1e-06,9e-06,33.0,0.0
