Label,sigma x BR (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]",Upper limit on signal strength,xsecUL
Run 71,0.209667525,2002.0,102.9847,351.3,1.0,0.25,0.4241284,0.09668695,0.09668695,0.09668695,0.09668695,0.09668695,0.09243683,1.03,0.21595755075
Run 72,0.141518847,2247.3,126.0908,52.3,1.0,0.25,0.4712316,0.08864426,0.08864426,0.08864426,0.08864426,0.08864426,0.08554706,1.42,0.20095676274
Run 73,0.143598297,2248.2,126.3325,3.4,1.0,0.25,0.472039,0.08850851,0.08850851,0.08850851,0.08850851,0.08850851,0.0854184,1.41,0.20247359877
Run 74,65.83318,502.3,25.97264,50.9,1.0,0.25,0.4817938,0.09619557,0.09619557,0.09619557,0.09619557,0.09619557,0.03722835,0.05,3.291659
Run 75,5.4635587,1001.3,55.16267,51.6,1.0,0.25,0.4738312,0.0902785,0.0902785,0.0902785,0.0902785,0.0902785,0.07477629,0.14,0.7648982180000001
Run 76,0.417074232,1752.1,90.28526,300.9,1.0,0.25,0.4264209,0.09651765,0.09651765,0.09651765,0.09651765,0.09651765,0.09099084,0.65,0.2710982508
Run 77,0.45627172,1749.8,94.51549,200.7,1.0,0.25,0.4528202,0.09207767,0.09207767,0.09207767,0.09207767,0.09207767,0.08679147,0.59,0.2692003148
Run 78,14.145272,704.2,30.14002,201.5,1.0,0.25,0.3418258,0.1161968,0.1161968,0.1161968,0.1161968,0.1161968,0.07719006,0.11,1.55597992
Run 79,0.0606462401,2255.8,87.75985,801.6,1.0,0.25,0.2373787,0.1278425,0.1278425,0.1278425,0.1278425,0.1278425,0.123409,3.18,0.192855043518
Run 80,0.77328252,1503.1,71.8194,351.3,1.0,0.25,0.3835234,0.1040911,0.1040911,0.1040911,0.1040911,0.1040911,0.09602107,0.44,0.3402443088
Run 81,0.056431575,1756.9,55.16082,800.9,1.0,0.25,0.05857734,0.1584074,0.1584074,0.1584074,0.1584074,0.1584074,0.1493855,4.92,0.277643349
Run 82,0.61960092,1504.0,64.82249,450.0,1.0,0.25,0.3165416,0.115399,0.115399,0.115399,0.115399,0.115399,0.1064633,0.53,0.3283884876
Run 83,0.095571102,2253.4,106.4836,551.6,1.0,0.25,0.3721493,0.1052514,0.1052514,0.1052514,0.1052514,0.1052514,0.1015937,1.89,0.18062938278
Run 84,0.0188426729,1506.9,44.48228,746.8,1.0,0.25,0.002093982,0.168484,0.168484,0.168484,0.168484,0.168484,0.1554862,18.5,0.34858944864999997
Run 85,0.26383295,1996.0,112.0722,2.6,1.0,0.25,0.4724289,0.08858135,0.08858135,0.08858135,0.08858135,0.08858135,0.08466432,0.84,0.22161967800000001
Run 86,0.37098071,19.4,0.4831036,200.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,3.93,1.4579541903
Run 87,25731.96,54.7,2.800179,1.9,1.0,0.25,0.5143147,0.09713706,0.09713706,0.09713706,0.09713706,0.09713706,,0.01,257.3196
Run 88,0.223056823,1998.9,105.192,300.9,1.0,0.25,0.4371081,0.09450988,0.09450988,0.09450988,0.09450988,0.09450988,0.09034251,0.96,0.21413455007999999
Run 89,0.11337585300000001,2250.6,115.5081,400.3,1.0,0.25,0.4219224,0.09690894,0.09690894,0.09690894,0.09690894,0.09690894,0.09353291,1.69,0.19160519157000003
Run 90,0.108741919,2249.8,112.6464,450.7,1.0,0.25,0.407462,0.09933351,0.09933351,0.09933351,0.09933351,0.09933351,0.09587043,1.73,0.18812351987
Run 91,5.2564694,1001.8,54.02057,100.6,1.0,0.25,0.4624415,0.09223026,0.09223026,0.09223026,0.09223026,0.09223026,0.07640723,0.14,0.7359057160000001
Run 92,0.15222752,1006.8,29.36851,494.6,1.0,0.25,0.005900417,0.1705111,0.1705111,0.1705111,0.1705111,0.1705111,0.1415441,5.97,0.9087982944
Run 93,23.311773000000002,505.1,16.43053,202.2,1.0,0.25,0.1754614,0.1529009,0.1529009,0.1529009,0.1529009,0.1529009,0.06003389,0.14,3.2636482200000008
Run 94,0.234656244,1999.7,107.3414,251.2,1.0,0.25,0.448141,0.09265687,0.09265687,0.09265687,0.09265687,0.09265687,0.08857466,0.95,0.22292343180000002
Run 95,1.08684353,1206.8,44.7608,450.0,1.0,0.25,0.2114502,0.1340928,0.1340928,0.1340928,0.1340928,0.1340928,0.1180858,0.46,0.4999480238
