#: table_doi: 10.17182/hepdata.102093.v1/t97
#: name: Table cutflows 150GeV
#: description: Cutflow of several signal benchmarks. A cut on the truth $E_\mathrm{T}^\mathrm{miss}$ at 150 GeV is applied.
#: data_file: table_cutflows_150gev.yaml
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,6.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,7.0

Cut,BB_direct_500_300  [$\%$]
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),100.0
Trigger,98.53
Event cleaning,98.4
Lepton veto,93.6
$N_\mathrm{jets}\leq4$,78.47
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",69.46
Lead. Jet quality requirements,68.24
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,50.58
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,39.08
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,12.58
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,11.73
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,7.01
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,3.43
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,2.8
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,0.91
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,0.35
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,0.14
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,0.06
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,0.04
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,0.02
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,0.01
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,0.01

Cut,TT_directCC_600_593
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),8857.0
Trigger,8694.0
Event cleaning,8677.0
Lepton veto,8352.0
$N_\mathrm{jets}\leq4$,7924.0
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",7463.0
Lead. Jet quality requirements,7197.0
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,5379.0
