Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mT1 (GeV),mn1 (GeV),NNLO Cross Section (pb),k_factor,Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
EM0,22.3481381,24.9081618,0.0164212,7.19e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,7.546555717142339,6.7709319820638685,Included,Included
EM1,10.1594236,-1.0,0.0125157,6.29e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,-0.30297521662727994,3.0780535660183004,Excluded,Included
EM2,5.9543357,5.9299057,0.0083587,5.15e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,1.7966144640368422,1.8040161485790465,Included,Included
EM3,4.3269895,5.2296945,0.0053619,4.13e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,1.5844678240319945,1.3109705811064658,Included,Included
EM4,3.1205961,4.4089515,0.0055971,4.22e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,1.3358030358116708,0.9454632794037451,Included,Excluded
EM5,2.5932132,3.1473529,0.0023734,2.75e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,0.9535699266799977,0.7856793310307219,Excluded,Excluded
EM6,7.477798,10.3300156,0.0003904,1.12e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,3.129738714173181,2.2655874689450406,Included,Included
EM7,-1.0,-1.0,0.0,0.0,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,-0.30297521662727994,-0.30297521662727994,Excluded,Excluded
EM8,-1.0,-1.0,0.0,0.0,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,-0.30297521662727994,-0.30297521662727994,Excluded,Excluded
EM9,3.6877105,3.1516438,0.0001323,6.5e-06,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,0.9548699630370238,1.117284887596195,Excluded,Included
EM10,-1.0,-1.0,0.0,0.0,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,-0.30297521662727994,-0.30297521662727994,Excluded,Excluded
EM11,1.5573563,1.733976,0.000142,6.7e-06,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,0.5253517542265044,0.47184036235835913,Excluded,Excluded
EM12,-1.0,-1.0,0.0,0.0,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,-0.30297521662727994,-0.30297521662727994,Excluded,Excluded
IM0,11.0145458,13.990217,0.0512148,0.0001289,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,4.633767165125093,3.6481807728076343,Included,Included
