Label,sigma (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]"
Run 86,2614000.0,20.0,0.4973592,200.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 87,228480.0,55.0,2.826658,0.0,1.0,0.25,0.516129,0.09677419,0.09677419,0.09677419,0.09677419,0.09677419,
Run 88,0.89681,2000.0,105.2983,300.0,1.0,0.25,0.4373606,0.09446672,0.09446672,0.09446672,0.09446672,0.09446672,0.09030582
Run 89,0.47459,2250.0,115.4845,400.0,1.0,0.25,0.4219705,0.0969012,0.0969012,0.0969012,0.0969012,0.0969012,0.09352353
Run 90,0.4751,2250.0,112.7018,450.0,1.0,0.25,0.4076988,0.09929371,0.09929371,0.09929371,0.09929371,0.09929371,0.09583265
Run 91,20.908,1000.0,53.93567,100.0,1.0,0.25,0.4625936,0.0922134,0.0922134,0.0922134,0.0922134,0.0922134,0.07633939
Run 92,20.931,1000.0,28.98538,500.0,1.0,0.25,,0.1715897,0.1715897,0.1715897,0.1715897,0.1715897,0.1420515
Run 93,278.16,500.0,16.24922,200.0,1.0,0.25,0.1763031,0.1530409,0.1530409,0.1530409,0.1530409,0.1530409,0.05849222
Run 94,0.89977,2000.0,107.4016,250.0,1.0,0.25,0.4483789,0.09261675,0.09261675,0.09261675,0.09261675,0.09261675,0.08853734
Run 95,9.8382,1200.0,44.30072,450.0,1.0,0.25,0.2079249,0.1347227,0.1347227,0.1347227,0.1347227,0.1347227,0.1184618
Run 96,20.961,1000.0,34.71495,400.0,1.0,0.25,0.1650464,0.1432694,0.1432694,0.1432694,0.1432694,0.1432694,0.1186064
Run 97,1553.1,300.0,14.1294,50.0,1.0,0.25,0.4719953,0.1056009,0.1056009,0.1056009,0.1056009,0.1056009,
Run 98,597.74,400.0,20.82187,0.0,1.0,0.25,0.5095762,0.09554553,0.09554553,0.09554553,0.09554553,0.09554553,0.01269614
Run 99,0.89719,2000.0,97.02784,450.0,1.0,0.25,0.3894024,0.1025189,0.1025189,0.1025189,0.1025189,0.1025189,0.09800331
Run 100,3.6775,1500.0,44.18158,760.0,1.0,0.25,,0.1688574,0.1688574,0.1688574,0.1688574,0.1688574,0.1557129
Run 101,1.7629,1750.0,73.56201,550.0,1.0,0.25,0.296877,0.118319,0.118319,0.118319,0.118319,0.118319,0.1115279
Run 102,20.968,1000.0,52.01204,150.0,1.0,0.25,0.4427179,0.09562386,0.09562386,0.09562386,0.09562386,0.09562386,0.07916276
Run 103,9.8682,1200.0,66.58949,50.0,1.0,0.25,0.4730475,0.08962842,0.08962842,0.08962842,0.08962842,0.08962842,0.07881041
Run 104,5650.7,200.0,4.973592,110.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 105,82.85,700.0,33.40245,150.0,1.0,0.25,0.4100006,0.1042293,0.1042293,0.1042293,0.1042293,0.1042293,0.06885279
Run 106,0.47497,2250.0,117.9846,350.0,1.0,0.25,0.4342192,0.09484781,0.09484781,0.09484781,0.09484781,0.09484781,0.09154172
Run 107,9.8492,1200.0,55.76433,300.0,1.0,0.25,0.3707537,0.1070274,0.1070274,0.1070274,0.1070274,0.1070274,0.09410935
Run 108,1.7639,1750.0,61.74991,700.0,1.0,0.25,0.1623769,0.1409522,0.1409522,0.1409522,0.1409522,0.1409522,0.132862
Run 109,20.927,1000.0,46.2144,250.0,1.0,0.25,0.3728064,0.10762,0.10762,0.10762,0.10762,0.10762,0.08909379
Run 110,0.89724,2000.0,109.1456,200.0,1.0,0.25,0.4571931,0.09113686,0.09113686,0.09113686,0.09113686,0.09113686,0.08712263
Run 111,598.0,400.0,10.21154,210.0,1.0,0.25,,0.1948224,0.1948224,0.1948224,0.1948224,0.1948224,0.02588811
Run 112,21.0,1000.0,55.5112,0.0,1.0,0.25,0.4778463,0.08959619,0.08959619,0.08959619,0.08959619,0.08959619,0.07417272
Run 113,1.772,1750.0,92.57686,250.0,1.0,0.25,0.4412951,0.09401686,0.09401686,0.09401686,0.09401686,0.09401686,0.08862058
Run 114,3.683,1500.0,79.80255,200.0,1.0,0.25,0.4463638,0.09348558,0.09348558,0.09348558,0.09348558,0.09348558,0.08620828
Run 115,1554.0,300.0,7.460388,150.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 116,3.6847,1500.0,49.12205,650.0,1.0,0.25,0.1005754,0.1518745,0.1518745,0.1518745,0.1518745,0.1518745,0.140052
Run 117,1.7644,1750.0,87.46078,350.0,1.0,0.25,0.4086133,0.09951644,0.09951644,0.09951644,0.09951644,0.09951644,0.0938045
Run 118,3.6742,1500.0,56.68522,550.0,1.0,0.25,0.2205802,0.1316108,0.1316108,0.1316108,0.1316108,0.1316108,0.1213657
Run 119,228430.0,55.0,1.367738,100.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 120,9.8573,1200.0,35.0895,600.0,1.0,0.25,,0.1700882,0.1700882,0.1700882,0.1700882,0.1700882,0.1495588
Run 121,9.8626,1200.0,40.46582,500.0,1.0,0.25,0.1328609,0.1474902,0.1474902,0.1474902,0.1474902,0.1474902,0.1296883
Run 122,1549.8,300.0,15.41814,0.0,1.0,0.25,0.516129,0.09677419,0.09677419,0.09677419,0.09677419,0.09677419,
Run 123,0.47568,2250.0,95.38673,700.0,1.0,0.25,0.3001812,0.117318,0.117318,0.117318,0.117318,0.117318,0.1132287
Run 124,20.957,1000.0,31.18222,450.0,1.0,0.25,0.07045182,0.1595009,0.1595009,0.1595009,0.1595009,0.1595009,0.1320437
Run 125,0.4731,2250.0,91.4674,750.0,1.0,0.25,0.2701944,0.122345,0.122345,0.122345,0.122345,0.122345,0.1180805
Run 126,9.849,1200.0,52.14607,350.0,1.0,0.25,0.3270922,0.1144537,0.1144537,0.1144537,0.1144537,0.1144537,0.1006393
Run 127,598.74,400.0,13.28195,150.0,1.0,0.25,0.2311714,0.149785,0.149785,0.149785,0.149785,0.149785,0.01990352
Run 128,3.6782,1500.0,52.77595,600.0,1.0,0.25,0.1628463,0.1413596,0.1413596,0.1413596,0.1413596,0.1413596,0.1303556
Run 129,5641.5,200.0,4.973592,500.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 130,598.13,400.0,19.84286,50.0,1.0,0.25,0.4853796,0.1002596,0.1002596,0.1002596,0.1002596,0.1002596,0.01332255
Run 131,3.6716,1500.0,77.52663,250.0,1.0,0.25,0.4301109,0.09623001,0.09623001,0.09623001,0.09623001,0.09623001,0.08873907
Run 132,5642.8,200.0,4.973592,150.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 133,1.7653,1750.0,97.23686,100.0,1.0,0.25,0.4680706,0.08951118,0.08951118,0.08951118,0.08951118,0.08951118,0.08437352
Run 134,82.955,700.0,38.2755,0.0,1.0,0.25,0.4851165,0.09095934,0.09095934,0.09095934,0.09095934,0.09095934,0.06008678
Run 135,20.948,1000.0,42.5666,300.0,1.0,0.25,0.3190582,0.1168426,0.1168426,0.1168426,0.1168426,0.1168426,0.09672882
Run 136,228820.0,55.0,1.367738,300.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 137,0.47528,2250.0,109.657,500.0,1.0,0.25,0.3912527,0.1020507,0.1020507,0.1020507,0.1020507,0.1020507,0.09849357
Run 138,83.178,700.0,36.04891,100.0,1.0,0.25,0.4533143,0.09657752,0.09657752,0.09657752,0.09657752,0.09657752,0.06379809
Run 139,0.89598,2000.0,74.597,750.0,1.0,0.25,0.2057996,0.1333456,0.1333456,0.1333456,0.1333456,0.1333456,0.1274723
Run 140,0.89354,2000.0,70.70412,800.0,1.0,0.25,0.162072,0.1406875,0.1406875,0.1406875,0.1406875,0.1406875,0.1344907
Run 141,9.8451,1200.0,61.76554,200.0,1.0,0.25,0.431892,0.09662849,0.09662849,0.09662849,0.09662849,0.09662849,0.08496558
Run 142,0.4756,2250.0,125.7306,100.0,1.0,0.25,0.4690756,0.08900446,0.08900446,0.08900446,0.08900446,0.08900446,0.08590205
Run 143,0.4762,2250.0,99.2047,650.0,1.0,0.25,0.3271143,0.1128029,0.1128029,0.1128029,0.1128029,0.1128029,0.108871
Run 144,0.47401,2250.0,120.1849,300.0,1.0,0.25,0.4445772,0.09311139,0.09311139,0.09311139,0.09311139,0.09311139,0.08986583
